iter	Passed	Remaining
412	44597	63386
413	44683	63247
414	44777	63119
415	44898	63029
416	44999	62913
417	45094	62786
418	45204	62682
419	45290	62543
420	45384	62416
421	45475	62286
422	45583	62178
423	45691	62071
424	45788	61949
425	45888	61830
426	46002	61731
427	46087	61593
428	46191	61480
429	46301	61375
430	46400	61257
431	46509	61151
432	46596	61017
433	46693	60895
434	46792	60776
435	46890	60657
436	46994	60544
437	47089	60420
438	47214	60335
439	47329	60237
440	47431	60123
441	47530	60005
442	47633	59891
443	47725	59764
444	47826	59649
445	47928	59534
446	48025	59413
447	48122	59293
448	48225	59181
449	48342	59084
450	48437	58962
451	48532	58840
452	48618	58707
453	48711	58582
454	48798	58451
455	48892	58327
456	48990	58210
457	49103	58108
458	49206	57997
459	49308	57883
460	49402	57761
461	49508	57652
462	49604	57533
463	49705	57418
464	49813	57312
465	49907	57190
466	50024	57094
467	50130	56986
468	50243	56885
469	50366	56796
470	50472	56687
471	50579	56580
472	50686	56472
473	50775	56346
474	50871	56225
475	50964	56103
476	51054	55978
477	51161	55870
478	51257	55751
479	51358	55638
480	51459	55524
481	51567	55419
482	51657	55294
483	51767	55190
484	51872	55080
485	51958	54951
486	52057	54836
487	52159	54724
488	52262	54613
489	52350	54487
490	52439	54362
491	52544	54253
492	52644	54139
493	52755	54037
494	52869	53937
495	52966	53820
496	53062	53702
497	53150	53577
498	53244	53458
499	53351	53351
500	53456	53243
501	53599	53172
502	53696	53056
503	53787	52933
504	53890	52823
505	53980	52700
506	54083	52590
507	54194	52487
508	54283	52363
509	54375	52242
510	54469	52124
511	54559	52001
512	54663	51893
513	54753	51770
514	54844	51650
515	54945	51538
516	55047	51427
517	55142	51310
518	55248	51203
519	55339	51082
520	55433	50964
521	55536	50855
522	55628	50736
523	55727	50622
524	55815	50499
525	55910	50383
526	56014	50275
527	56109	50158
528	56208	50045
529	56301	49927
530	56395	49810
531	56515	49716
532	56611	49601
533	56707	49486
534	56815	49381
535	56907	49263
536	57009	49153
537	57100	49033
538	57186	48911
539	57274	48789
540	57403	48703
541	57496	48585
542	57592	48470
543	57696	48363
544	57802	48256
545	57907	48150
546	58003	48035
547	58106	47927
548	58192	47805
549	58291	47692
550	58377	47570
551	58480	47462
552	58609	47375
553	58701	47257
554	58814	47157
555	58925	47055
556	59043	46959
557	59135	46842
558	59240	46735
559	59356	46636
560	59460	46529
561	59578	46433
562	59675	46320
563	59766	46202
564	59859	46086
565	59958	45975
566	60061	45866
567	60163	45758
568	60251	45638
569	60367	45540
570	60458	45423
571	60548	45305
572	60644	45192
573	60749	45086
574	60857	44981
575	60957	44871
576	61069	44770
577	61190	44675
578	61294	44568
579	61381	44448
580	61500	44352
581	61598	44241
582	61710	44139
583	61825	44040
584	61929	43932
585	62026	43820
586	62129	43713
587	62219	43596
588	62320	43487
589	62429	43383
590	62524	43270
591	62622	43159
592	62715	43044
593	62804	42927
594	62899	42814
595	62999	42704
596	63087	42586
597	63188	42477
598	63282	42364
599	63395	42263
600	63493	42152
601	63589	42041
602	63700	41938
603	63791	41823
604	63899	41719
605	64010	41617
606	64098	41500
607	64201	41392
608	64294	41279
609	64385	41164
610	64486	41055
611	64600	40955
612	64703	40848
613	64811	40744
614	64902	40629
615	64997	40517
616	65103	40412
617	65218	40313
618	65304	40195
619	65406	40088
620	65496	39972
621	65603	39868
622	65688	39750
623	65778	39635
624	65891	39534
625	65994	39427
626	66084	39313
627	66195	39211
628	66285	39096
629	66384	38987
630	66480	38876
631	66583	38769
632	66680	38659
633	66771	38546
634	66877	38441
635	66978	38333
636	67070	38220
637	67187	38122
638	67284	38012
639	67374	37898
640	67481	37793
641	67570	37679
642	67664	37568
643	67767	37461
644	67855	37346
645	67964	37243
646	68069	37138
647	68177	37034
648	68276	36926
649	68380	36820
650	68478	36711
651	68575	36601
652	68663	36487
653	68766	36381
654	68888	36284
655	68977	36171
656	69095	36072
657	69184	35958
658	69275	35846
659	69382	35742
660	69482	35634
661	69569	35520
662	69676	35416
663	69779	35309
664	69873	35199
665	69977	35093
666	70077	34986
667	70179	34879
668	70282	34773
669	70370	34659
670	70503	34568
671	70597	34458
672	70696	34350
673	70801	34245
674	70903	34138
675	71003	34031
676	71103	33923
677	71194	33811
678	71312	33713
679	71403	33601
680	71516	33500
681	71637	33403
682	71734	33294
683	71838	33188
684	71939	33081
685	72030	32970
686	72126	32861
687	72216	32749
688	72311	32639
689	72405	32529
690	72511	32425
691	72605	32315
692	72729	32219
693	72844	32118
694	72939	32009
695	73054	31908
696	73180	31812
697	73288	31709
698	73385	31601
699	73486	31494
700	73580	31384
701	73693	31282
702	73785	31172
703	73901	31072
704	74004	30966
705	74114	30863
706	74230	30763
707	74322	30652
708	74441	30553
709	74533	30443
710	74642	30339
711	74737	30230
712	74839	30124
713	74926	30012
714	75016	29901
715	75136	29802
716	75254	29703
717	75375	29604
718	75480	29499
719	75579	29392
720	75666	29279
721	75766	29173
722	75873	29069
723	75972	28961
724	76075	28856
725	76170	28747
726	76259	28636
727	76372	28534
728	76473	28428
729	76582	28325
730	76709	28228
731	76819	28125
732	76929	28022
733	77043	27920
734	77149	27815
735	77259	27712
736	77347	27601
737	77441	27492
738	77542	27386
739	77657	27285
740	77748	27175
741	77860	27072
742	77953	26963
743	78050	26856
744	78153	26750
745	78239	26639
746	78329	26529
747	78427	26422
748	78530	26316
749	78627	26209
750	78755	26111
751	78842	26001
752	78930	25890
753	79032	25785
754	79123	25675
755	79217	25567
756	79312	25459
757	79402	25350
758	79504	25244
759	79613	25141
760	79717	25036
761	79822	24931
762	79913	24822
763	80008	24714
764	80106	24607
765	80205	24501
766	80313	24397
767	80417	24292
768	80528	24189
769	80623	24082
770	80709	23971
771	80805	23864
772	80903	23758
773	80999	23651
774	81098	23544
775	81202	23439
776	81298	23332
777	81392	23225
778	81481	23116
779	81581	23010
780	81691	22907
781	81799	22803
782	81893	22695
783	82008	22594
784	82113	22489
785	82221	22385
786	82349	22287
787	82492	22193
788	82597	22088
789	82687	21980
790	82781	21872
791	82887	21768
792	82972	21658
793	83057	21548
794	83144	21439
795	83251	21335
796	83346	21228
797	83442	21122
798	83545	21017
799	83662	20915
800	83765	20810
801	83853	20701
802	83952	20596
803	84068	20494
804	84169	20388
805	84277	20285
806	84382	20180
807	84478	20074
808	84578	19968
809	84671	19861
810	84769	19755
811	84866	19648
812	84966	19543
813	85070	19438
814	85175	19334
815	85263	19226
816	85348	19117
817	85475	19017
818	85570	18911
819	85684	18808
820	85797	18706
821	85902	18601
822	86012	18498
823	86125	18395
824	86233	18292
825	86352	18190
826	86479	18090
827	86578	17984
828	86686	17880
829	86773	17772
830	86863	17665
831	86963	17559
832	87070	17455
833	87185	17353
834	87283	17247
835	87404	17146
836	87498	17039
837	87589	16932
838	87726	16834
839	87822	16728
840	87916	16621
841	88004	16513
842	88107	16409
843	88200	16302
844	88310	16198
845	88429	16097
846	88540	15993
847	88649	15890
848	88747	15784
849	88843	15678
850	88954	15574
851	89050	15468
852	89158	15364
853	89248	15257
854	89348	15152
855	89444	15046
856	89556	14943
857	89660	14838
858	89755	14732
859	89851	14627
860	89939	14519
861	90046	14415
862	90165	14313
863	90258	14207
864	90344	14099
865	90470	13998
866	90570	13893
867	90674	13789
868	90792	13686
869	90892	13581
870	91002	13477
871	91110	13374
872	91225	13271
873	91330	13166
874	91458	13065
875	91560	12960
876	91688	12859
877	91795	12755
878	91883	12648
879	91971	12541
880	92076	12437
881	92176	12331
882	92293	12229
883	92391	12123
884	92491	12018
885	92609	11915
886	92708	11810
887	92799	11704
888	92891	11598
889	92978	11491
890	93067	11385
891	93162	11279
892	93307	11180
893	93420	11076
894	93517	10971
895	93633	10868
896	93740	10763
897	93836	10658
898	93932	10552
899	94023	10447
900	94136	10343
901	94255	10240
902	94344	10134
903	94470	10032
904	94584	9928
905	94671	9822
906	94792	9719
907	94890	9614
908	94985	9508
909	95074	9402
910	95162	9296
911	95251	9190
912	95336	9084
913	95438	8979
914	95539	8875
915	95633	8769
916	95727	8664
917	95837	8560
918	95938	8455
919	96052	8352
920	96157	8248
921	96263	8143
922	96362	8038
923	96475	7935
924	96572	7830
925	96667	7725
926	96763	7620
927	96869	7515
928	96974	7411
929	97072	7306
930	97198	7203
931	97301	7099
932	97406	6994
933	97509	6890
934	97608	6785
935	97737	6682
936	97825	6577
937	97915	6472
938	97999	6366
939	98105	6262
940	98200	6157
941	98300	6052
942	98384	5946
943	98494	5842
944	98627	5740
945	98727	5635
946	98819	5530
947	98927	5426
948	99024	5321
949	99128	5217
950	99221	5112
951	99319	5007
952	99411	4902
953	99511	4798
954	99645	4695
955	99744	4590
956	99835	4485
957	99928	4380
958	100033	4276
959	100137	4172
960	100235	4067
961	100345	3963
962	100441	3859
963	100549	3754
964	100667	3651
965	100763	3546
966	100861	3442
967	100957	3337
968	101064	3233
969	101169	3128
970	101309	3025
971	101412	2921
972	101526	2817
973	101621	2712
974	101733	2608
975	101832	2504
976	101934	2399
977	102036	2295
978	102150	2191
979	102237	2086
980	102344	1982
981	102443	1877
982	102554	1773
983	102651	1669
984	102770	1565
985	102868	1460
986	102963	1356
987	103060	1251
988	103148	1147
989	103251	1042
990	103340	938
991	103441	834
992	103540	729
993	103646	625
994	103737	521
995	103841	417
996	103927	312
997	104036	208
998	104136	104
999	104246	0
